cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
505128,SEQUIM BAY POST ACUTE,650 WEST HEMLOCK ST,SEQUIM,WA,98382,3605822400,040,Clallam,For profit - Corporation,100,75.9,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1969-10-01,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,4,NA,3,NA,4,NA,NA,NA,2.84589,0.83955,0.64094,1.48049,4.32639,3.80473,0.38524,0.07787,42.4,NA,16.7,NA,1,NA,1.33646,0.96741,2.22803,0.83987,0.65565,3.72354,3.29307,2.92564,0.86308,0.6589,4.44761,3.91134,2024-08-12,15,13,3,92,1,0,92,2023-07-31,43,15,29,344,1,0,344,155,7,36,2,3,106187.25,0,3,"650 WEST HEMLOCK ST,SEQUIM,WA,98382",48.0751,-123.12,NA,2025-07-01
505140,HIGHLAND HEALTH AND REHABILITATION OF CASCADIA,2400 SAMISH WAY,BELLINGHAM,WA,98229,3607344800,360,Whatcom,For profit - Limited Liability company,32,36.4,NA,Medicare and Medicaid,N,"BELLINGHAM SOUTH OF CASCADIA, LLC",1972-05-31,CASCADIA HEALTHCARE,118,44,3.1,2.9,2.9,4,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,5,NA,4,NA,3,NA,NA,NA,2.046,0.66482,1.0799,1.74472,3.79072,3.2476,0.62025,0.08107,56.3,NA,54.5,NA,1,NA,1.41286,1.02272,2.3554,0.88788,0.69313,3.93641,3.48133,1.98959,0.64649,1.05012,3.6862,3.15806,2024-07-30,13,10,3,68,1,0,68,2023-07-28,11,2,9,96,1,0,96,75,6,8,1,2,53339,0,2,"2400 SAMISH WAY,BELLINGHAM,WA,98229",48.7099,-122.46,NA,2025-07-01
505151,CASHMERE POST ACUTE,817 PIONEER AVENUE,CASHMERE,WA,98815,5097821251,030,Chelan,For profit - Limited Liability company,95,91,NA,Medicare and Medicaid,N,"T-STREET HOLDINGS, LLC",1967-01-31,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,3,NA,1,NA,1,NA,3,NA,4,NA,NA,NA,2.58483,0.11018,0.8944,1.00459,3.58942,3.0746000000000002,0.68392,0.04685,38.8,NA,36.4,NA,1,NA,1.33058,0.96315,2.21822,0.83617,0.65276,3.70715,3.27857,2.66901,0.11377,0.92353,3.70631,3.17472,2025-01-13,18,15,3,88,1,0,88,2023-11-15,17,15,6,92,1,0,92,89,6,4,0,2,103618.68,0,2,"817 PIONEER AVENUE,CASHMERE,WA,98815",47.517,-120.48,NA,2025-07-01
505154,TACOMA NURSING AND REHABILITATION CENTER,2102 SOUTH 96TH STREET,TACOMA,WA,98444,2535812514,260,Pierce,For profit - Limited Liability company,150,92.8,NA,Medicare and Medicaid,N,HIGHLAND WELLNESSCARE LLC,1983-03-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,5,NA,5,NA,5,NA,5,NA,4,NA,2,NA,NA,NA,2.79933,1.56658,0.59023,2.15682,4.95615,4.36548,0.58129,0.00215,56.3,NA,56.3,NA,0,NA,1.76018,1.27413,2.93441,1.10614,0.86352,4.90407,4.33712,2.18502,1.2228,0.46071,3.86852,3.40748,2025-04-24,0,0,0,0,0,0,0,2024-03-28,16,8,8,108,1,0,108,27,5,2,NA,1,36445.5,0,1,"2102 SOUTH 96TH STREET,TACOMA,WA,98444",47.1701,-122.44,NA,2025-07-01
505181,REDMOND CARE AND REHABILITATION CENTER,7900 WILLOWS ROAD NORTHEAST,REDMOND,WA,98052,4258850808,160,King,For profit - Corporation,139,81.1,NA,Medicare and Medicaid,N,"UNION HILL HEALTHCARE, INC.",1968-05-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,2.04503,0.76357,0.78877,1.55234,3.59737,3.36792,0.70881,0.19723,28.6,NA,33.3,NA,0,NA,1.39205,1.00766,2.32071,0.8748,0.68292,3.87843,3.43005,2.01837,0.75361,0.77849,3.55047,3.32402,2024-06-12,9,8,1,44,1,0,44,2023-05-21,10,9,1,60,1,0,60,48,0,2,NA,1,7442.5,0,1,"7900 WILLOWS ROAD NORTHEAST,REDMOND,WA,98052",47.6749,-122.14,NA,2025-07-01
505182,PROVIDENCE MOUNT ST VINCENT,4831 35TH AVENUE SOUTHWEST,SEATTLE,WA,98126,2069373700,160,King,Non profit - Corporation,215,178.8,NA,Medicare and Medicaid,N,PROVIDENCE HEALTH & SERVICES WASHINGTON,1968-04-01,PROVIDENCE HEALTH & SERVICES,430,12,3.2,2.6,4.1,3.6,N,NA,Y,N,N,Resident,Yes,1,NA,2,NA,3,NA,4,NA,3,NA,1,25,25,6,NA,NA,NA,NA,NA,NA,NA,NA,65.4,NA,55.1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-01-10,26,24,6,168,1,0,168,2023-10-27,17,14,4,104,1,0,104,152,5,3,NA,2,104433.75,0,2,"4831 35TH AVENUE SOUTHWEST,SEATTLE,WA,98126",47.5585,-122.38,NA,2025-07-01
505183,AVALON HEALTHCARE - TACOMA,7411 PACIFIC AVENUE,TACOMA,WA,98408,2534748456,260,Pierce,For profit - Limited Liability company,81,62.9,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1968-02-08,AVAMERE,58,33,2.6,2.4,3.6,3.5,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,2,NA,NA,2,2,NA,NA,NA,2.48058,1.08046,0.63914,1.7196,4.20018,3.59567,0.25614,0.02658,NA,26,NA,26,4,NA,1.37162,0.99287,2.28665,0.86197,0.6729,3.82151,3.37971,2.48471,1.08226,0.6402,4.20717,3.60165,2024-10-09,34,29,5,224,1,0,224,2023-11-09,22,17,6,120,1,0,120,198,6,8,NA,1,3250,0,1,"7411 PACIFIC AVENUE,TACOMA,WA,98408",47.1899,-122.43,NA,2025-07-01
505185,OLYMPIC VIEW CARE,1116 E LAURIDSEN BOULEVARD,PORT ANGELES,WA,98362,3604529206,040,Clallam,For profit - Corporation,101,77.9,NA,Medicare and Medicaid,N,"CRESTWOOD CONVALESCENT - PORT ANGELES, LLC",1968-07-18,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,3,NA,4,NA,NA,NA,2.47988,0.62973,0.59687,1.2266,3.70648,2.78921,0.26425,0.03987,42.2,NA,33.3,NA,0,NA,1.30209,0.94253,2.17073,0.81827,0.63879,3.62778,3.20838,2.61666,0.66446,0.62979,3.91091,2.94305,2025-05-13,40,21,19,232,1,0,232,2024-07-26,28,13,17,184,1,0,184,220,7,47,1,2,48997,1,3,"1116 E LAURIDSEN BOULEVARD,PORT ANGELES,WA,98362",48.1039,-123.42,NA,2025-07-01
505188,LIFE CARE CENTER OF FEDERAL WAY,1045 SOUTH 308TH STREET,FEDERAL WAY,WA,98003,2539462273,160,King,For profit - Limited Liability company,157,92.1,NA,Medicare and Medicaid,N,CONSOLIDATED RESOURCES HEALTH CARE FUND I LP,1968-09-17,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,3,NA,3,NA,2,NA,NA,NA,2.33219,0.91367,0.66864,1.58231,3.9145,3.38819,0.44371,0.04694,48.5,NA,82.6,NA,1,NA,1.47919,1.07073,2.46597,0.92956,0.72567,4.1212,3.64475,2.1662,0.84864,0.62105,3.63589,3.14704,2025-03-18,33,27,7,224,1,0,224,2024-01-10,31,27,4,188,1,0,188,215,4,7,NA,3,108719,0,3,"1045 SOUTH 308TH STREET,FEDERAL WAY,WA,98003",47.326,-122.32,NA,2025-07-01
505195,NORTH AUBURN REHAB & HEALTH CENTER,2830  I  STREET NORTHEAST,AUBURN,WA,98002,2535618100,160,King,For profit - Limited Liability company,125,72.5,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1983-01-01,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.66616,0.70131,0.70437,1.40568,4.07184,3.61235,0.4032,0.05758,55.3,NA,62.5,NA,1,NA,1.43348,1.03765,2.38978,0.90084,0.70325,3.99387,3.53214,2.55535,0.67216,0.67509,3.9026,3.46222,2025-04-21,21,21,0,120,0,0,120,2024-03-22,41,26,16,284,1,0,284,161,8,15,NA,3,182936,0,3,"2830  I  STREET NORTHEAST,AUBURN,WA,98002",47.3321,-122.22,NA,2025-07-01
505202,VALLEY VIEW SKILLED NURSING AND REHABILITATION,4430 TALBOT ROAD SOUTH,RENTON,WA,98055,4252267500,160,King,For profit - Corporation,136,96,NA,Medicare and Medicaid,N,TALBOT RD S I HEALTHCARE LLC,1970-06-01,VERTICAL HEALTH SERVICES,636,17,1.6,1.9,1.5,3.3,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,5,NA,4,NA,2,NA,NA,NA,2.50799,0.70294,0.86323,1.56617,4.07415,3.4863,0.45719,0.06485,59.2,NA,51.9,NA,3,NA,1.64153,1.18824,2.73661,1.03158,0.80531,4.57351,4.04477,2.0991,0.58833,0.7225,3.40993,2.91791,2024-12-13,24,23,1,128,1,0,128,2023-08-25,28,20,8,291,1,0,291,168.75,3,10,NA,4,176326.15,0,4,"4430 TALBOT ROAD SOUTH,RENTON,WA,98055",47.4394,-122.21,NA,2025-07-01
505204,QUEEN ANNE HEALTHCARE,2717 DEXTER AVENUE NORTH,SEATTLE,WA,98109,2062847012,160,King,For profit - Partnership,120,95.7,NA,Medicare and Medicaid,N,SEATTLE OPERATIONS LLC,1976-03-01,AVAMERE,58,33,2.6,2.4,3.6,3.5,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,3,NA,4,NA,2,NA,5,NA,NA,NA,3.54629,0.71431,1.31424,2.02855,5.57483,4.86955,0.9427,0.14624,45.3,NA,25,NA,0,NA,1.47522,1.06786,2.45936,0.92707,0.72372,4.11015,3.63499,3.30273,0.66525,1.22397,5.19196,4.53512,2025-02-03,9,8,1,36,1,0,36,2023-10-20,14,10,5,76,1,0,76,46,2,3,0,0,0,0,0,"2717 DEXTER AVENUE NORTH,SEATTLE,WA,98109",47.6446,-122.35,NA,2025-07-01
505206,THE OAKS AT TIMBERLINE,400 EAST 33RD STREET,VANCOUVER,WA,98663,3606962561,050,Clark,For profit - Corporation,85,67.2,NA,Medicare and Medicaid,N,"COLUMBIA RIVER HEALTHCARE, INC.",1970-11-09,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,2,NA,NA,NA,2.28816,1.25094,0.39735,1.64829,3.93644,3.3739,0.3575,0.14073,43.9,NA,66.7,NA,0,NA,1.45363,1.05223,2.42336,0.9135,0.71313,4.04999,3.58178,2.16267,1.18233,0.37556,3.72056,3.18886,2025-01-27,9,8,2,48,1,0,48,2024-02-07,4,2,2,20,1,0,20,41,2,2,NA,0,0,0,0,"400 EAST 33RD STREET,VANCOUVER,WA,98663",45.6453,-122.67,NA,2025-07-01
505210,LIFE CARE CENTER OF PORT ORCHARD,2031 POTTERY AVENUE,PORT ORCHARD,WA,98366,3608768035,170,Kitsap,For profit - Corporation,125,79.9,NA,Medicare and Medicaid,N,"PORT ORCHARD OPERATIONS, LLC",1979-08-01,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.0597,1.09193,0.89417,1.98609,4.04579,3.51749,0.45713,0.13839,46.2,NA,36.8,NA,0,NA,1.55832,1.12801,2.59789,0.97929,0.76449,4.34166,3.83973,1.81596,0.96271,0.78835,3.56702,3.10123,2025-02-28,9,8,1,40,1,0,40,2023-12-11,9,7,2,40,1,0,40,40,2,3,NA,0,0,0,0,"2031 POTTERY AVENUE,PORT ORCHARD,WA,98366",47.5176,-122.65,NA,2025-07-01
505211,PUYALLUP NURSING AND REHABILITATION CENTER,516 23RD AVE SE,PUYALLUP,WA,98372,2538456631,260,Pierce,For profit - Corporation,96,71.1,NA,Medicare and Medicaid,N,"PUYALLUP CARE CENTER, INC",1971-08-31,REGENCY PACIFIC MANAGEMENT,442,27,3.4,3.4,3.5,3.4,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,2.97032,1.15588,0.54501,1.7009,4.67121,4.09055,0.4097,0.07651,42.5,NA,60,NA,0,NA,1.57468,1.13985,2.62516,0.98957,0.77252,4.38725,3.88005,2.5916,1.00851,0.47552,4.07563,3.569,2024-08-16,22,19,3,128,1,0,128,2023-07-18,17,14,3,120,1,0,120,126,2,3,NA,1,7442.5,0,1,"516 23RD AVE SE,PUYALLUP,WA,98372",47.1698,-122.29,NA,2025-07-01
505216,SOUNDVIEW REHABILITATION AND HEALTH CARE INC,1105 27TH STREET,ANACORTES,WA,98221,3602933174,280,Skagit,For profit - Limited Liability company,44,35,NA,Medicare and Medicaid,N,SOUNDVIEW REHABILITATION AND HEALTH CARE INC,1978-12-27,HYATT FAMILY FACILITIES,276,5,2.4,2.4,3.2,3.4,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,3,NA,1,NA,4,NA,3,NA,NA,NA,2.70293,0.69588,0.79279,1.48867,4.1916,3.71255,0.48835,0.22311,55.9,NA,77.8,NA,2,NA,1.32871,0.9618,2.2151,0.835,0.65185,3.70194,3.27397,2.79488,0.71955,0.81975,4.33419,3.83884,2024-05-29,29,23,9,192,1,0,192,2023-03-13,30,12,18,188,1,0,188,191,14,6,3,1,15000,1,2,"1105 27TH STREET,ANACORTES,WA,98221",48.5005,-122.61,NA,2025-07-01
505217,AVAMERE REHABILITATION AT RIDGEMONT,2051 POTTERY AVENUE,PORT ORCHARD,WA,98366,3608764461,170,Kitsap,For profit - Limited Liability company,96,75.4,NA,Medicare and Medicaid,N,PO SNF OPERATIONS LLC,1972-04-07,AVAMERE,58,33,2.6,2.4,3.6,3.5,Y,NA,N,N,N,Resident,Yes,2,NA,3,NA,4,NA,4,NA,4,NA,1,NA,NA,NA,2.63672,1.2171,0.53651,1.75361,4.39033,3.96804,0.37102,0.07608,50,NA,63.6,NA,1,NA,1.8805,1.36122,3.135,1.18176,0.92255,5.2393,4.63359,1.92641,0.88922,0.39198,3.20761,2.89908,2024-08-27,12,10,2,84,1,0,84,2023-09-21,19,13,6,96,1,0,96,87,7,3,0,0,0,0,0,"2051 POTTERY AVENUE,PORT ORCHARD,WA,98366",47.5172,-122.65,NA,2025-07-01
505226,SUNNYSIDE HEALTHCARE CENTER,721 OTIS AVENUE,SUNNYSIDE,WA,98944,5098372122,380,Yakima,For profit - Limited Liability company,80,67.3,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1974-06-01,PRESTIGE CARE,417,23,2.7,2.7,3.2,3.6,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,3,NA,4,NA,3,NA,4,NA,NA,NA,2.5415,0.95141,0.59269,1.5441,4.0856,3.60004,0.53639,0.17063,31.6,NA,33.3,NA,0,NA,1.39552,1.01017,2.32649,0.87698,0.68462,3.8881,3.4386,2.50213,0.93667,0.58351,4.02232,3.54428,2024-11-22,13,8,5,100,1,0,100,2023-10-10,15,7,9,104,1,0,104,101,4,9,3,3,92826.5,0,3,"721 OTIS AVENUE,SUNNYSIDE,WA,98944",46.3129,-120.01,NA,2025-07-01
505230,FIR LANE CARE,2430 NORTH 13TH STREET,SHELTON,WA,98584,3604261651,220,Mason,For profit - Corporation,135,86.1,NA,Medicare and Medicaid,N,FIR LANE HEALTH-SHELTON LLC,1980-01-01,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,2,NA,2,NA,1,24,NA,NA,2.52808,1.01727,0.43734,1.45461,3.98268,3.63355,0.17722,0.05054,52.3,NA,25,NA,1,NA,1.33518,0.96649,2.22589,0.83906,0.65502,3.71998,3.28992,2.6014,1.04677,0.45003,4.0982,3.73893,2024-05-10,26,17,9,243,1,0,243,2023-06-09,30,15,16,184,1,0,184,228.25,14,26,4,5,229225.25,0,5,"2430 NORTH 13TH STREET,SHELTON,WA,98584",47.2302,-123.11,NA,2025-07-01
505232,WOODLAND CONVALESCENT CENTER,310 FOURTH STREET,WOODLAND,WA,98674,3602259443,070,Cowlitz,For profit - Corporation,62,50.7,NA,Medicare and Medicaid,N,WOODLAND ENTERPRISES INC,1975-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,4,NA,NA,2,3,NA,NA,NA,2.85158,0.62522,0.88846,1.51368,4.36526,3.87248,0.53419,0.01359,NA,26,NA,26,NA,26,1.42481,1.03136,2.37531,0.89539,0.69899,3.96968,3.51076,2.74971,0.60288,0.85672,4.20932,3.73414,2024-05-03,8,7,3,60,1,0,60,2023-04-20,5,4,1,99,1,0,99,69.75,2,1,0,1,17777.5,0,1,"310 FOURTH STREET,WOODLAND,WA,98674",45.8997,-122.75,NA,2025-07-01
505236,EDMONDS CARE,21400 72ND AVENUE WEST,EDMONDS,WA,98026,4257751961,300,Snohomish,For profit - Corporation,128,83.2,NA,Medicare and Medicaid,N,"ALDERCREST HEALTH - EDMONDS, LLC",1977-08-01,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,2.53029,1.23278,0.54849,1.78126,4.31155,3.80891,0.32025,0.06311,61.5,NA,71.4,NA,0,NA,1.29103,0.93453,2.15229,0.81132,0.63336,3.59697,3.18113,2.69272,1.31191,0.5837,4.58833,4.05342,2024-11-26,33,27,6,172,1,0,172,2023-08-30,31,16,15,164,1,0,164,170,9,13,0,1,26520,0,1,"21400 72ND AVENUE WEST,EDMONDS,WA,98026",47.8049,-122.33,NA,2025-07-01
505239,PARK ROSE CARE CENTER,3919 SOUTH 19TH STREET,TACOMA,WA,98405,2537525677,260,Pierce,For profit - Limited Liability company,139,95.3,NA,Medicare and Medicaid,N,"BD TACOMA I, LLC",1976-04-30,REGENCY PACIFIC MANAGEMENT,442,27,3.4,3.4,3.5,3.4,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,2,NA,1,NA,2,NA,2,NA,NA,NA,3.24044,1.25296,0.95542,2.20838,5.44882,4.56031,0.74195,0.02501,54.1,NA,64.7,NA,0,NA,2.05117,1.48477,3.41953,1.28901,1.00628,5.71482,5.05414,2.1705,0.83925,0.63995,3.6497,3.05456,2024-09-18,23,15,13,128,1,0,128,2023-08-07,38,22,17,240,1,0,240,156,7,24,1,4,266452.88,0,4,"3919 SOUTH 19TH STREET,TACOMA,WA,98405",47.2428,-122.49,NA,2025-07-01
505240,PORT WASHINGTON POST ACUTE,140 SOUTH MARION AVENUE,BREMERTON,WA,98312,3604794747,170,Kitsap,For profit - Limited Liability company,98,67.3,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1976-05-14,CALDERA CARE,97,17,2.3,2,2.8,3.7,Y,NA,N,N,N,Both,Yes,1,NA,1,NA,3,NA,5,NA,2,NA,2,NA,NA,NA,2.50916,0.94516,0.29576,1.24092,3.75008,3.43168,0.15047,0.06215,55.1,NA,93.3,NA,0,NA,1.27552,0.9233,2.12644,0.80157,0.62575,3.55377,3.14292,2.70269,1.01806,0.31857,4.03932,3.69637,2024-06-18,34,22,14,222,1,0,222,2023-06-07,47,22,25,292,1,0,292,239.5,16,57,1,3,104393.25,0,3,"140 SOUTH MARION AVENUE,BREMERTON,WA,98312",47.5631,-122.66,NA,2025-07-01
505243,OLYMPIA TRANSITIONAL CARE AND REHABILITATION,430 LILLY ROAD NORTHEAST,OLYMPIA,WA,98506,3604919700,330,Thurston,For profit - Limited Liability company,113,82.3,NA,Medicare and Medicaid,N,WOODARD CREEK HEALTHCARE LLC,1976-07-07,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,3,NA,5,NA,3,NA,NA,NA,2.62279,1.11293,0.46616,1.57909,4.20188,3.76894,0.24473,0.17061,43,NA,53.3,NA,2,NA,1.38587,1.00318,2.31039,0.87092,0.67989,3.86119,3.41481,2.60015,1.10333,0.46214,4.16562,3.73642,2025-04-01,10,8,2,52,1,0,52,2024-01-26,13,10,3,92,1,0,92,62,6,9,0,0,0,0,0,"430 LILLY ROAD NORTHEAST,OLYMPIA,WA,98506",47.053,-122.84,NA,2025-07-01
505246,PULLMAN CARE,NORTHWEST 1310 DEANE,PULLMAN,WA,99163,5093321566,370,Whitman,For profit - Limited Liability company,48,29.7,NA,Medicare and Medicaid,N,PULLMAN NURSING & REHAB LLC,1979-09-01,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,3,NA,2,NA,4,NA,3,NA,NA,NA,2.44743,0.31123,0.97874,1.28997,3.7374,3.10019,0.59657,0.06519,59,NA,62.5,NA,1,NA,1.42126,1.0288,2.36939,0.89316,0.69725,3.9598,3.50202,2.36589,0.30086,0.94613,3.61288,2.9969,2024-11-17,8,7,1,40,1,0,40,2023-08-19,21,3,19,164,1,0,164,71,3,14,5,3,47986.25,0,3,"NORTHWEST 1310 DEANE,PULLMAN,WA,99163",46.7655,-117.19,22,2025-07-01
505251,"COLFAX OF CASCADIA, LLC",1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,5093974603,370,Whitman,For profit - Limited Liability company,55,38.1,NA,Medicare and Medicaid,N,"COLFAX OF CASCADIA, LLC",1977-12-15,CASCADIA HEALTHCARE,118,44,3.1,2.9,2.9,4,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,3,NA,2,NA,4,NA,3,NA,NA,NA,2.17603,0.47659,0.88155,1.35814,3.53417,3.08275,0.56247,0.09864,72.5,NA,83.3,NA,1,NA,1.3043,0.94413,2.17441,0.81966,0.63987,3.63393,3.21382,2.29217,0.50203,0.92859,3.72279,3.24728,2024-07-22,25,22,6,331,1,0,331,2023-03-08,19,3,16,160,1,0,160,288.25,10,12,4,3,82000.49,0,3,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",46.87,-117.37,NA,2025-07-01
505252,AVAMERE REHABILITATION OF BURIEN,1031 SOUTHWEST 130TH STREET,BURIEN,WA,98146,2062423213,160,King,For profit - Limited Liability company,140,82.4,NA,Medicare and Medicaid,N,BURIEN OPERATIONS LLC,1983-02-01,AVAMERE,58,33,2.6,2.4,3.6,3.5,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,4,NA,2,NA,4,NA,NA,NA,2.63211,1.01133,0.72987,1.7412,4.37331,3.67438,0.67987,0.05748,37.2,NA,33.3,NA,1,NA,1.35573,0.98136,2.26015,0.85198,0.6651,3.77722,3.34055,2.66741,1.02489,0.73966,4.43196,3.72365,2024-02-28,29,29,2,216,1,0,216,2022-11-17,10,6,4,96,1,0,96,186,5,8,0,2,62735.03,0,2,"1031 SOUTHWEST 130TH STREET,BURIEN,WA,98146",47.4866,-122.35,NA,2025-07-01
505254,ROO LAN HEALTH & REHAB,1505 CARPENTER ROAD SE,LACEY,WA,98503,3604911765,330,Thurston,For profit - Corporation,96,74.7,NA,Medicare and Medicaid,N,LOWERS HOLDINGS LLC,1980-04-01,NA,NA,NA,NA,NA,NA,NA,N,SFF Candidate,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,3,NA,3,NA,2,NA,NA,NA,2.41314,0.709,0.65154,1.36054,3.77368,3.49804,0.47461,0.0115,71.6,NA,71.4,NA,2,NA,1.31256,0.95011,2.18818,0.82485,0.64392,3.65695,3.23417,2.52593,0.74214,0.68199,3.95006,3.66154,2025-02-06,55,45,10,570,1,0,570,2024-03-11,51,29,22,332,1,0,332,510.5,10,18,0,3,283159.5,1,4,"1505 CARPENTER ROAD SE,LACEY,WA,98503",47.0331,-122.79,NA,2025-07-01
